Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1001,,paid,2025-05-11 09:55:16 -0400,fulfilled,2025-05-11 09:57:05 -0400,no,EUR,1659.95,0.00,0.00,1659.95,"",0.00,"",2025-05-11 09:55:16 -0400,1,Gift Card - $10,10.00,,,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rZcE2A8z2PsX5lSwvlVnslhPs,0.00,Snowboard Vendor,0.00,Luis Guimaraes,Shop location,,6634244374859,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rZcE2A8z2PsX5lSwvlVnslhPs,,,rZcE2A8z2PsX5lSwvlVnslhPs
#1001,,,,,,,,,,,,,,,2025-05-11 09:55:16 -0400,1,Selling Plans Ski Wax - Selling Plans Ski Wax,24.95,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2025-05-11 09:55:16 -0400,1,The Collection Snowboard: Hydrogen,600.00,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogen Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2025-05-11 09:55:16 -0400,1,The Collection Snowboard: Oxygen,1025.00,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogen Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1002,,paid,2025-05-11 09:56:23 -0400,fulfilled,2025-05-11 09:56:57 -0400,no,EUR,1615.90,0.00,0.00,1615.90,"",0.00,"",2025-05-11 09:56:23 -0400,1,The Minimal Snowboard,885.95,,,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rroDRkhlMQI1NK5MjSz6wn2j6,0.00,Test Cycle Sense App,0.00,Luis Guimaraes,Shop location,,6634245652811,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rroDRkhlMQI1NK5MjSz6wn2j6,,,rroDRkhlMQI1NK5MjSz6wn2j6
#1002,,,,,,,,,,,,,,,2025-05-11 09:56:23 -0400,1,The Multi-location Snowboard,729.95,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1003,,paid,2025-05-11 10:01:25 -0400,fulfilled,2025-05-11 10:01:33 -0400,no,EUR,729.95,0.00,0.00,729.95,"",0.00,"",2025-05-11 10:01:25 -0400,1,The Multi-location Snowboard,729.95,,,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rqXCKBq2mDK9UmPpvV7qVepvj,0.00,Test Cycle Sense App,0.00,Luis Guimaraes,Shop location,,6634253189451,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rqXCKBq2mDK9UmPpvV7qVepvj,,,rqXCKBq2mDK9UmPpvV7qVepvj
#1004,ayumu.hirano@example.com,paid,2025-05-12 15:06:16 -0400,fulfilled,2025-05-12 15:08:25 -0400,no,EUR,34.95,0.00,0.00,34.95,"",0.00,"",2025-05-12 15:06:16 -0400,1,Gift Card - $10,10.00,,,false,false,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,rEdO9xjeHTAGTf5hsTXv5eRYC,0.00,Snowboard Vendor,0.00,Luis Guimaraes,Shop location,,6637075562827,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550127,,,,,rEdO9xjeHTAGTf5hsTXv5eRYC,,,rEdO9xjeHTAGTf5hsTXv5eRYC
#1004,ayumu.hirano@example.com,,,,,,,,,,,,,,2025-05-12 15:06:16 -0400,1,Selling Plans Ski Wax - Selling Plans Ski Wax,24.95,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,+16135550127,,,,,,,,
#1005,karine.ruby@example.com,paid,2025-05-12 15:07:54 -0400,fulfilled,2025-05-12 15:08:05 -0400,no,EUR,1635.55,0.00,0.00,1635.55,"",0.00,"",2025-05-12 15:07:54 -0400,1,The Multi-location Snowboard,738.83,,,true,true,fulfilled,"",151 O'Connor St,151 O'Connor St,,Receiving Department,Ottawa,K2P2L8,ON,CA,+16135550114,"",151 O'Connor St,151 O'Connor St,,Receiving Department,Ottawa,K2P 2L8,ON,CA,+16135550114,,"",,manual,rmrsmbPjSGL2w8dVDSjfkdwfg,0.00,Test Cycle Sense App,0.00,Luis Guimaraes,,,6637078348107,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550142,,,Ontario,Ontario,rmrsmbPjSGL2w8dVDSjfkdwfg,,,rmrsmbPjSGL2w8dVDSjfkdwfg
#1005,karine.ruby@example.com,,,,,,,,,,,,,,2025-05-12 15:07:54 -0400,1,The Videographer Snowboard,896.72,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,+16135550142,,,,,,,,
#1006,,paid,2025-05-13 08:21:24 -0400,fulfilled,2025-05-13 08:21:31 -0400,no,EUR,2535.85,0.00,0.00,2535.85,"",0.00,"",2025-05-13 08:21:24 -0400,1,The Complete Snowboard - Ice,699.95,,,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rRRCqdHUbjNfASywke76taL4o,0.00,Snowboard Vendor,0.00,Luis Guimaraes,Shop location,,6638233977163,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rRRCqdHUbjNfASywke76taL4o,,,rRRCqdHUbjNfASywke76taL4o
#1006,,,,,,,,,,,,,,,2025-05-13 08:21:24 -0400,1,The Inventory Not Tracked Snowboard,949.95,"",sku-untracked-1,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1006,,,,,,,,,,,,,,,2025-05-13 08:21:24 -0400,1,The Videographer Snowboard,885.95,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1007,,paid,2025-05-13 08:21:54 -0400,fulfilled,2025-05-13 08:22:00 -0400,no,EUR,49.95,0.00,0.00,49.95,"",0.00,"",2025-05-13 08:21:54 -0400,1,Selling Plans Ski Wax - Special Selling Plans Ski Wax,49.95,,,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rbSDJdtYcSAuciQEy78YY4kZH,0.00,Test Cycle Sense App,0.00,Luis Guimaraes,Shop location,,6638234599755,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rbSDJdtYcSAuciQEy78YY4kZH,,,rbSDJdtYcSAuciQEy78YY4kZH
#1008,Russel.winfield@example.com,paid,2025-05-13 15:44:12 -0400,fulfilled,2025-05-13 15:45:14 -0400,no,EUR,189.80,0.00,0.00,189.80,"",0.00,"",2025-05-13 15:44:12 -0400,1,Gift Card - $10,10.26,,,false,false,fulfilled,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C1N7,,CA,,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C 1N7,ON,CA,,,"",,manual,rkWhfnrQJ9tSJGtKNQcYlwpQd,0.00,Snowboard Vendor,0.01,Luis Guimaraes,,,6638974042443,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550135,,,,Ontario,rkWhfnrQJ9tSJGtKNQcYlwpQd,,,rkWhfnrQJ9tSJGtKNQcYlwpQd
#1008,Russel.winfield@example.com,,,,,,,,,,,,,,2025-05-13 15:44:12 -0400,1,Gift Card - $25,25.65,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,+16135550135,,,,,,,,
#1008,Russel.winfield@example.com,,,,,,,,,,,,,,2025-05-13 15:44:12 -0400,1,Gift Card - $50,51.30,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,+16135550135,,,,,,,,
#1008,Russel.winfield@example.com,,,,,,,,,,,,,,2025-05-13 15:44:12 -0400,1,Gift Card - $100,102.59,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,+16135550135,,,,,,,,
#1009,Russel.winfield@example.com,paid,2025-05-13 15:44:42 -0400,fulfilled,2025-05-13 15:45:14 -0400,no,EUR,189.80,0.00,0.00,189.80,"",0.00,"",2025-05-13 15:44:41 -0400,1,Gift Card - $10,10.26,,,false,false,fulfilled,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C1N7,,CA,,Russell Winfield,105 Victoria St,105 Victoria St,,Company Name,Toronto,M5C 1N7,ON,CA,,,"",,manual,rzLV5HEL5g1SkgBtaZa9kL4tY,0.00,Snowboard Vendor,0.01,Luis Guimaraes,,,6638974697803,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550135,,,,Ontario,rzLV5HEL5g1SkgBtaZa9kL4tY,,,rzLV5HEL5g1SkgBtaZa9kL4tY
#1009,Russel.winfield@example.com,,,,,,,,,,,,,,2025-05-13 15:44:41 -0400,1,Gift Card - $25,25.65,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,+16135550135,,,,,,,,
#1009,Russel.winfield@example.com,,,,,,,,,,,,,,2025-05-13 15:44:41 -0400,1,Gift Card - $50,51.30,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,+16135550135,,,,,,,,
#1009,Russel.winfield@example.com,,,,,,,,,,,,,,2025-05-13 15:44:41 -0400,1,Gift Card - $100,102.59,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,+16135550135,,,,,,,,
#1010,,paid,2025-05-13 16:00:27 -0400,fulfilled,2025-05-16 03:43:42 -0400,no,EUR,729.95,0.00,0.00,729.95,"",0.00,"",2025-05-13 16:00:27 -0400,1,The Multi-location Snowboard,729.95,,,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rFoLX2MLKOWvi83Gw18gyiaK6,0.00,Test Cycle Sense App,0.00,Luis Guimaraes,Shop location,,6639001960779,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rFoLX2MLKOWvi83Gw18gyiaK6,,,rFoLX2MLKOWvi83Gw18gyiaK6
#1011,,paid,2025-05-13 16:00:49 -0400,partial,,no,EUR,1659.95,0.00,0.00,1659.95,"",0.00,"",2025-05-13 16:00:49 -0400,1,Gift Card - $10,10.00,,,false,false,pending,,,,,,,,,,,,,,,,,,,,,,"",,manual,rXmof0PZqTnuMQtNGUnAV2CEw,0.00,Snowboard Vendor,0.00,Luis Guimaraes,Shop location,,6639002878283,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rXmof0PZqTnuMQtNGUnAV2CEw,,,rXmof0PZqTnuMQtNGUnAV2CEw
#1011,,,,,,,,,,,,,,,2025-05-13 16:00:49 -0400,1,Selling Plans Ski Wax - Selling Plans Ski Wax,24.95,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1011,,,,,,,,,,,,,,,2025-05-13 16:00:49 -0400,1,The Collection Snowboard: Hydrogen,600.00,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogen Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1011,,,,,,,,,,,,,,,2025-05-13 16:00:49 -0400,1,The Collection Snowboard: Oxygen,1025.00,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogen Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1012,ayumu.hirano@example.com,paid,2025-05-13 16:17:18 -0400,fulfilled,2025-05-13 16:17:27 -0400,no,EUR,949.95,0.00,0.00,949.95,"",0.00,"",2025-05-13 16:17:18 -0400,1,The Inventory Not Tracked Snowboard,949.95,,sku-untracked-1,true,true,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,r91WFxXImPTjGO9IteXl9Hokg,0.00,Test Cycle Sense App,0.00,Luis Guimaraes,Shop location,,6639030567243,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550127,,,,,r91WFxXImPTjGO9IteXl9Hokg,,,r91WFxXImPTjGO9IteXl9Hokg
#1013,karine.ruby@example.com,pending,,partial,,no,EUR,127.59,0.00,0.00,127.59,"",0.00,"",2025-05-16 02:36:49 -0400,1,Gift Card - $100,102.00,,,false,false,pending,Karine Ruby,Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P2L8,,CA,+16135550142,Karine Ruby,Box 42 - 151 O'Connor St,Box 42 - 151 O'Connor St,,,Ottawa,K2P 2L8,ON,CA,+16135550142,,"",,"","",0.00,Snowboard Vendor,127.59,Luis Guimaraes,,,6642365890891,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550142,,,,Ontario,,Net 7,2025-05-23 02:36:34 -0400,
#1013,karine.ruby@example.com,,,,,,,,,,,,,,2025-05-16 02:36:49 -0400,1,Selling Plans Ski Wax - Selling Plans Ski Wax,25.59,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Cycle Sense App,,,,,,,,,0.00,,,,,,,,,,,+16135550142,,,,,,,,
#1014,ayumu.hirano@example.com,paid,2025-05-17 06:21:42 -0400,fulfilled,2025-05-17 06:22:38 -0400,no,EUR,100.00,0.00,0.00,100.00,"",0.00,"",2025-05-17 06:21:42 -0400,1,Gift Card - $100,100.00,,,false,false,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,rCJfEnC3JpWAz8TTGRzu4zdvk,0.00,Snowboard Vendor,0.00,Luis Guimaraes,Shop location,,6644337541451,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rCJfEnC3JpWAz8TTGRzu4zdvk,,,rCJfEnC3JpWAz8TTGRzu4zdvk
#1015,ayumu.hirano@example.com,paid,2025-05-17 06:24:56 -0400,fulfilled,2025-05-17 06:25:07 -0400,no,EUR,100.00,0.00,0.00,100.00,"",0.00,"",2025-05-17 06:24:56 -0400,1,Gift Card - $100,100.00,,,false,false,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,rzwaGfQvEWNbQgippkGJBGXxu,0.00,Snowboard Vendor,0.00,Luis Guimaraes,Shop location,,6644342686027,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550127,,,,,rzwaGfQvEWNbQgippkGJBGXxu,,,rzwaGfQvEWNbQgippkGJBGXxu
